"";"title";"url";"description";"lng";"lat";"city";"street";"zip";"date_start";"date_end";"price";"time_start";"time_end";"organizer"
"39";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17589";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"40";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Flower Power";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17590";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"41";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Libellen im Anflug- FASCHINGSFEIERKindertagesstätte";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17591";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"42";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17595";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"43";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Schöne Tulpen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17597";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"44";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Pappteller-Fuchs";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17598";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"45";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern- PLENUM, 20.00 - 22.00 UhrKoordinationstreffen Verein";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17601";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"46";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17602";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"47";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17603";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"48";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Valentinskarten";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17604";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"49";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Traumfänger";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17605";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"50";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17608";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"51";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17609";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"52";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17610";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"53";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Flatter-Vögelchen";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17611";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"54";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Bilder mit Fingerfarben";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17612";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"55";"KINDERHOTEL ";"http://www.familienzentrum-wuerzburg.de/termine/";"So.24.03.Übernachtung für 5- bis 12-JährigeAnmeldeschluss: 18.03.";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"NA";"NA";"NA";"0.708333333333333";"0.458333333333333";"Familienzentrum Würzburg e.V."
"56";" SPIELMÄUSE ";"http://www.familienzentrum-wuerzburg.de/termine/";"Spielgruppe für 2-4-Jährige und Eltern- ELTERNABEND 20.00 - 22.00 UhrKindertagesstätte";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17615";"NA";"NA";"0.645833333333333";"0.729166666666667";"Familienzentrum Würzburg e.V."
"57";"LINE DANCE A ";"http://www.familienzentrum-wuerzburg.de/termine/";"Tanzgruppe für Anfänger- LINE DANCE B, 20.00 - 21.30 UhrTanzgruppe für Fortgeschrittene";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17616";"NA";"NA";"0.770833333333333";"0.8125";"Familienzentrum Würzburg e.V."
"58";" KRABBELKÄFER ";"http://www.familienzentrum-wuerzburg.de/termine/";"Krabbelgruppe für 0-2-Jährige und Eltern";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17617";"NA";"NA";"0.625";"0.708333333333333";"Familienzentrum Würzburg e.V."
"59";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: Schmuckketten";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17618";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"60";"CAFÉ KLEIN & GROSS ";"http://www.familienzentrum-wuerzburg.de/termine/";"Thema: schöne Schnecken";"9.93684";"49.76189";"Wuerzburg-Heidingsfeld";"Frau-Holle-Weg 27";"97084";"17619";"NA";"NA";"0.645833333333333";"0.770833333333333";"Familienzentrum Würzburg e.V."
"61";"Siliconelastomere – Technologien und Trends eines innovativen Werkstoffs";"https://www.skz.de/de/index.html";"character(0)";"9.9154094";"49.7943474";"Wuerzburg";"Friedrich-Bergius-Ring 22";"97076";"17709";"17710";"NA";"NA";"NA";"Fördergemeinschaft für das Kunststoff-Zentrum SKZ"
"62";"Verschleiß und Verschleißschutz an Kunststoff­verarbeitungsmaschinen";"https://www.skz.de/de/index.html";"character(0)";"9.9154094";"49.7943474";"Wuerzburg";"Friedrich-Bergius-Ring 22";"97076";"17684";"17685";"NA";"NA";"NA";"Fördergemeinschaft für das Kunststoff-Zentrum SKZ"
"63";"Thermoformen technischer Bauteile";"https://www.skz.de/de/index.html";"character(0)";"9.9154094";"49.7943474";"Wuerzburg";"Friedrich-Bergius-Ring 22";"97076";"17684";"17685";"NA";"NA";"NA";"Fördergemeinschaft für das Kunststoff-Zentrum SKZ"
